Rank,Name,Wealth (in $1B USD),Country of Citizenship,Residence
452,David Sainsbury,2.2,United Kingdom,United Kingdom
453,John Sall,2.2,United States,United States
454,Shi Zhengrong,2.2,Australia,China
455,Marcel Herrmann Telles,2.2,Brazil,Brazil
456,Jerry Yang,2.2,United States,United States
457,Larry Yung,2.2,China,Hong Kong
458,Emilio Azcarraga Jean,2.1,Mexico,Mexico
459,Vincent Bollore,2.1,France,France
460,Franklin Booth Jr,2.1,United States,United States
461,John Calamos & family,2.1,United States,United States
462,William Randolph Hearst III,2.1,United States,United States
463,H Wayne Huizenga,2.1,United States,United States
464,Fukuzo Iwasaki,2.1,Japan,Japan
465,Baba Kalyani,2.1,India,India
466,Omid Kordestani,2.1,United States,United States
467,E Stanley Kroenke,2.1,United States,United States
468,Timur Kulibaev,2.1,Kazakhstan,Kazakhstan
469,Dinara Kulibaeva,2.1,Kazakhstan,Kazakhstan
470,Barry Lam,2.1,Taiwan,Taiwan
471,Joseph Lau,2.1,Hong Kong,Hong Kong
472,Li Sze Lim,2.1,Hong Kong,China
473,Carl Lindner Jr & family,2.1,United States,United States
474,John Marriott Jr,2.1,United States,United States
475,Craig McCaw,2.1,United States,United States
476,Alain Merieux & family,2.1,France,France
477,Michael Milken,2.1,United States,United States
478,Penny Pritzker,2.1,United States,United States
479,Erol Sabanci,2.1,Turkey,Turkey
480,Sevket Sabanci,2.1,Turkey,Turkey
481,Henry Samueli,2.1,United States,United States
482,T Denny Sanford,2.1,United States,United States
483,Jon Stryker,2.1,United States,United States
484,Wilma Tisch & family,2.1,United States,United States
485,Eugen Viehof & family,2.1,Germany,Germany
486,Zhang Li,2.1,China,China
487,Igor Zyuzin,2.1,Russia,Russia
488,Herbert Allen Jr,2,United States,United States
489,Vassily Anisimov,2,Russia,Russia
490,Leonore Annenberg,2,United States,United States
491,Maria Asuncion Aramburuzabala & family,2,Mexico,Mexico
492,Michael Ashley,2,United Kingdom,United Kingdom
493,Leon Black,2,United States,United States
494,Charles Brandes,2,United States,United States
495,Christopher Chandler,2,New Zealand,New Zealand
496,Richard Chandler,2,New Zealand,New Zealand
497,Phoebe Hearst Cooke,2,United States,United States
498,Mark Coombs,2,United Kingdom,United Kingdom
499,Leszek Czarnecki,2,Poland,Poland
500,Jim Davis & family,2,United States,United States
501,Edward Debartolo Jr,2,United States,United States
502,Stanley Druckenmiller,2,United States,United States
503,Barbara Carlson Gage & family,2,United States,United States
504,Malcolm Glazer & family,2,United States,United States
505,Tom Gores,2,United States,United States
506,Vitaliy Hayduk,2,Ukraine,Ukraine
507,Austin Hearst,2,United States,United States
508,David Hearst Jr,2,United States,United States
509,George Hearst Jr,2,United States,United States
510,Roberto Hernandez Ramirez,2,Mexico,Mexico
511,James Kim & family,2,United States,United States
512,Vincent Lo,2,Hong Kong,Hong Kong
513,Margaret Magerko,2,United States,United States
514,John Malone,2,United States,United States
515,Clayton Mathile,2,United States,United States
516,Marilyn Carlson Nelson & family,2,United States,United States
517,Rubens Ometto Silveira Mello,2,Brazil,Brazil
518,Liselott Persson,2,Sweden,Sweden
519,Anthony Pritzker,2,United States,United States
520,Daniel Pritzker,2,United States,United States
521,James Pritzker,2,United States,United States
522,Jay Robert (JB) Pritzker,2,United States,United States
523,Jean (Gigi) Pritzker,2,United States,United States
524,John Pritzker,2,United States,United States
525,Karen Pritzker,2,United States,United States
526,Linda Pritzker,2,United States,United States
527,Ural Rakhimov,2,Russia,Russia
528,Tamir Sapir,2,United States,United States
529,Carlos Alberto Sicupira,2,Brazil,Brazil
530,Malvinder & Shivinder Singh,2,India,India
531,Sarik Tara,2,Turkey,Turkey
532,Serhiy Taruta,2,Ukraine,Ukraine
533,A Alfred Taubman,2,United States,United States
534,Robert E "Ted" Turner,2,United States,United States
535,Albert von Thurn und Taxis,2,Germany,Germany
536,Romain Zaleski,2,France,Italy
537,Zhang Jindong,2,China,China
538,S Daniel Abraham,1.9,United States,United States
539,John Anderson,1.9,United States,United States
540,Julio Bozano,1.9,Brazil,Brazil
541,Patokh Chodiev,1.9,Belgium,Kazakhstan
542,Abilio dos Santos Diniz,1.9,Brazil,Brazil
543,Gustaf Douglas,1.9,Sweden,Sweden
544,Rachman Halim & family,1.9,Indonesia,Indonesia
545,Hans-Werner Hector,1.9,Germany,Germany
546,Alijan Ibragimov,1.9,Kazakhstan,Kazakhstan
547,Stephen Jarislowsky,1.9,Canada,Canada
548,Daryl Katz,1.9,Canada,Canada
549,Alexander Machkevich,1.9,Israel,Kazakhstan
550,Charles Munger,1.9,United States,United States
551,Peter Nicholas,1.9,United States,United States
552,Florentino Pérez,1.9,Spain,Spain
553,Bernard Saul II,1.9,United States,United States
554,Eduard Shifrin,1.9,United Kingdom,United Kingdom
555,Sylvia Ströher,1.9,Germany,Germany
556,Andreas von Bechtolsheim,1.9,Germany,United States
557,José Maria Aristrain,1.8,Spain,Spain
558,Dermot Desmond,1.8,Ireland,Ireland
