Rank,Name,Wealth (in $1B USD),Country of Citizenship,Source of Wealth,Industry
213,Akira Mori,2.4,Japan,,Real Estate
214,Frank Lowy,2.4,Australia,,Real Estate
215,Barbara Piasecka Johnson,2.4,United States,,Health Care
216,Ryoichi Jinnai,2.4,Japan,,Finance
217,John Dorrance,2.4,Ireland,,Food
218,Richard DeVos,2.4,United States,,
219,Paul Desmarais,2.4,Canada,,
220,Charles Cadogan,2.4,United Kingdom,,Real Estate
221,Hubert Burda,2.4,Germany,,Media
222,Zhang Wanzhen,2.3806619999999996,China,Electronics components,Manufacturing
223,Wan-Tsai Tsai,2.3,Taiwan,,Finance
224,Pallonji Mistry,2.3,India,,Construction &#38; Engineering
225,Ralph Lauren,2.3,United States,,Apparel
226,Peter Kellogg,2.3,United States,,Finance
227,Ray Lee Hunt,2.3,United States,,Oil
228,Bradley Hughes,2.3,United States,,
229,Yu-tung Cheng,2.3,Hong Kong,,Real Estate
230,Clive Calder,2.3,United Kingdom,,Media
231,Charles Butt,2.3,n/a,,Fashion and Retail
232,Ronald Burkle,2.3,United States,,Investments
233,Alberto Bailleres,2.3,Mexico,,
234,Yvonne Bauer,2.286301,Germany,"Magazines, media",Media & Entertainment
235,Zhang Bangxin,2.252769,China,Education,Service
236,Zygmunt Solorz,2.221241,Poland,TV broadcasting,Media & Entertainment
237,Yuan Fugen & family,2.217473,China,Metal processing,Manufacturing
238,Samuel Zell,2.2,United States,,Real Estate
239,Cho Yaw Wee,2.2,Singapore,,Finance
240,Takemitsu Takizaki,2.2,Japan,,Manufacturing
241,Leonard Stern,2.2,United States,,Real Estate
242,Bernard Marcus,2.2,United States,,Fashion and Retail
243,Rupert Johnson,2.2,United States,,Finance
244,Amos Hostetter,2.2,United States,,Media
245,Tetsuro Funai,2.2,Japan,,Manufacturing
246,David Filo,2.2,United States,,
247,Richard Branson,2.2,United Kingdom,,Shipping
248,Heinz Bauer,2.2,Germany,,Media
249,Giorgio Armani,2.2,Italy,,Apparel
250,Zhang Jingzhang & family,2.138993,China,Precision machinery,Manufacturing
251,Zhang Ning,2.130721,Canada,Chemicals,Manufacturing
252,Zakhar Smushkin,2.107505,Russia,"Pulp and paper, diversified",Diversified
253,Albert von Thurn und Taxis,2.1,Germany,,
254,Clemmie Spangler Jr,2.1,United States,,Investments
255,Leng Chan Quek,2.1,Malaysia,,Finance
256,Randolph Lerner,2.1,United States,,Finance
257,Steve Jobs,2.1,United States,,Technology
258,Gordon Getty,2.1,United States,,Energy
259,Rolf Gerling,2.1,Germany,,Insurance
260,Philippe Foriel-Destezet,2.1,France,,
261,Doris Fisher,2.1,United States,,Apparel
262,Friede Springer,2,Germany,,Media
263,Steven Rales,2,United States,,Manufacturing
264,Richard Rainwater,2,United States,,Finance
265,Augusto & Giorgio Perfetti,2,Italy,,Food and Beverage
266,Henry Nicholas,2,United States,,
267,John Morgridge,2,United States,,
268,Patrick McGovern,2,United States,,Media
269,Lev Leviev,2,Israel,,Manufacturing
270,Ronald Lauder,2,United States,,Apparel
271,Klaus-Michael Kuhne,2,Germany,,Shipping
272,Roberto Hernandez Ramirez,2,Mexico,,Finance
273,Adi Godrej,2,India,,Manufacturing
274,Ennio Doris,2,Italy,,Insurance
275,Martin &#38; Olivier Bouygues,2,France,,
276,Zhao Tao,1.987212,Singapore,Pharmaceuticals,Healthcare
277,Yu Lili,1.944292,China,Electronic components,Manufacturing
278,Jerry Yang,1.9,United States,,
279,Tadashi Yanai,1.9,Japan,,Retail
280,Glen Taylor,1.9,United States,,
281,Evgeny (Eugene) Shvidler,1.9,United States,,Oil
282,Bruno Schroder,1.9,United Kingdom,,Finance
283,Mitchell Rales,1.9,United States,,Manufacturing
284,Michael Krasny,1.9,United States,,
285,Gunter Herz,1.9,Germany,,Retail
286,Daniela Herz,1.9,Germany,,Retail
287,Donald Hall,1.9,United States,,Manufacturing
288,John Fredriksen,1.9,Norway,,Shipping
289,Leonard Blavatnik,1.9,United States,,Oil
290,Zadik Bino & family,1.848282,Israel,"Banking, oil",Diversified
291,Zhu Zhaojiang,1.8093240000000002,China,Smartphones,Manufacturing
292,Michael Ying,1.8,Hong Kong,,Apparel
293,Arne Wilhelmsen,1.8,Norway,,Shipping
294,Dennis Washington,1.8,United States,,Investments
295,Ronda Stryker,1.8,United States,,Health Care
296,Jon Stryker,1.8,United States,,Health Care
