Rank,Name,Wealth (in $1B USD),Country of Citizenship,Source of Wealth,Industry
921,Robert Fisher,1.1,United States,Gap,Service
922,John Fisher,1.1,United States,Gap,Fashion and Retail
923,Alexander Dzhaparidze,1.1,Russia,oil services,Energy
924,Chey Tae-Won,1.1,South Korea,diversified,Diversified
925,Chang Yung Fa,1.1,Taiwan,transportation,Logistics
926,Chan Laiwa,1.1,China,Real estate,Billionaire
927,Steve Case,1.1,United States,AOL,Technology
928,John Brown,1.1,United States,Stryker Corp.,Health care
929,Julio Bozano,1.1,Brazil,banking,Finance
930,Vincent Bollore,1.1,France,investments,Investments
931,Thomas Barrack,1.1,United States,Colony Capital,Investments
932,Rahul Bajaj,1.1,India,motorcycles,Automotive
933,Igor Altushkin,1.1,Russia,metals,Metals & Mining
934,Abdulla Al Futtaim,1.1,United Arab Emirates,"auto dealers, investments",Automotive
935,Aras Agalarov,1.1,Russia,"trade fairs, real estate",Fashion and Retail
936,"Kenneth Adams, Jr.",1.1,United States,Oil,Sports
937,Zegar Charles,1,United States,Bloomberg LP,Media
938,Xian Yang,1,China,Minerals,Energy
939,Samuel Wyly,1,United States,investments,Investments
940,Wei Ying-chiao,1,Taiwan,"food, beverages",Food and Beverage
941,Wei Yin-Heng,1,Taiwan,beverages,Food and Beverage
942,Wei Yin-Chun,1,Taiwan,"food, beverages",Food and Beverage
943,Wei Ing-Chou,1,Taiwan,"food, beverages",Food and Beverage
944,Rakesh Wadhawan,1,India,real estate,
945,Murat Vargi,1,Turkey,telecom,Telecom
946,Mustafa Latif Topbas,1,Turkey,food manufacturing and retail,Fashion and Retail
947,Ion Tiriac,1,Romania,"banking, insurance",Finance and Investments
948,Tiong Hiew King,1,Malaysia,timber,Diversified
949,Joyce Raley Teel,1,United States,supermarkets,Service
950,Chairul Tanjung,1,Indonesia,diversified,Diversified
951,Michal Solowow,1,Poland,investments,Investments
952,Nobutoshi Shimamura,1,Japan,retail,Fashion and Retail
953,Steven Schonfeld,1,United States,Proprietary Trading,Finance and Investments
954,Dwight Schar,1,United States,NVR Inc.,Sports
955,Silvio Scaglia,1,Italy,telecom,
956,Deniz Sahenk,1,Turkey,bank and media,Finance
957,Sevket Sabanci,1,Turkey,diversified,Diversified
958,Suzan Sabanci Dincer,1,Turkey,diversified,Diversified
959,J.K. Rowling,1,United Kingdom,Harry Potter,Celebrity
960,Marc Rich,1,United States,commodities,Investments
961,K. Anji Reddy,1,India,pharmaceuticals,Health care
962,G.V. Krishna Reddy,1,India,infrastructure,
963,Nicholas Pritzker II,1,United States,"hotels, investments",Service
964,Ajay Piramal,1,India,pharmaceuticals,Health care
965,Kazuo Okada,1,Japan,gaming,Gaming
966,Arturo Moreno,1,United States,billboards,Sports
967,Virendra Mhaiskar,1,India,infrastructure,Construction & Engineering
968,Aubrey McClendon,1,United States,natural gas,Energy
969,Mian Mohammad Mansha,1,Pakistan,diversified,
970,Vijay Mallya,1,India,liquor,Food and Beverage
971,Maggie Magerko,1,United States,84 Lumber,Service
972,Jeffrey Lurie,1,United States,Philadelphia Eagles,Sports
973,Li Zhaohui,1,China,Manufacturing,
974,Peter Lewis,1,United States,Progressive Corp,Logistics
975,Solomon Lew,1,Australia,retail,Fashion and Retail
976,Randolph Lerner,1,United States,inheritance,Finance and Investments
977,Norma Lerner,1,United States,inheritance,Finance and Investments
978,Nancy Lerner,1,United States,inheritance,Finance and Investments
979,Michael Lee-Chin,1,Canada,mutual funds,Finance and Investments
980,Kenneth Langone,1,United States,investments,Investments
981,Michael Krasny,1,United States,CDW Corp,Technology
982,Andrei Kosogov,1,Russia,"oil, telecom, banking",Energy
983,Sidney Kimmel,1,United States,Jones Apparel,Fashion and Retail
984,Nasser Khalili,1,United Kingdom,"art, real estate",Investments
985,William Kellogg,1,United States,Kohl''s,Fashion and Retail
986,Morris Kahn,1,Israel,software,Technology
987,George Joseph,1,United States,insurance,Finance
988,Rakesh Jhunjhunwala,1,India,investments,Investments
989,Jon Huntsman,1,United States,chemicals,Manufacturing
990,Huang Wen Tsai,1,China,Real estate,Real Estate
991,Alfredo Harp Helu,1,Mexico,banking,Finance
992,Dorrance Hamilton,1,United States,inheritance,Food and Beverage
993,Donald Hall,1,United States,Hallmark,Fashion and Retail
994,Joaquin Guzman Loera,1,Mexico,drug trafficking,Logistics
995,Mario Gabelli,1,United States,money management,Investments
996,Fu Guangming,1,China,Chicken processing,Food and Beverage
997,Douglas Fregin,1,Canada,Research in Motion,
998,John Edson,1,United States,leisure craft,Manufacturing
999,James Dyson,1,United Kingdom,vacuums,Manufacturing
1000,Aydin Dogan,1,Turkey,media,Media
1001,Scott Cook,1,United States,Intuit,Technology
1002,Turgay Ciner,1,Turkey,diversified,Diversified
1003,Christopher Chandler,1,New Zealand,investments,Investments
1004,Ahmet Calik,1,Turkey,energy/textiles,Diversified
1005,Gary Burrell,1,United States,navigation equipment,Manufacturing
1006,Patrick Bowlen,1,United States,Denver Broncos,
1007,Benu Gopal Bangur,1,India,Cement,
1008,Shahid Balwa,1,India,real estate,
1009,Thomas Bailey,1,United States,mutual funds,Finance
1010,Andrej Babis,1,Czech Republic,agriculture,Food and Beverage
1011,An Kang,1,China,Manufacturing,Health care
